offset	jp	ko
0x4F5548	鍛練	단련
0x4F5550	宴会	연회
0x4F5558	悪言	악언
0x4F5560	下野	하야
0x4F5568	発起	발기
0x4F5570	会話	대화
0x4F5578	寄贈	기증
0x4F5580	推挙	천거
0x4F5588	見聞	견문
0x4F5590	休養	휴양
0x4F5598	転地	이전
0x4F55A0	旗揚	거병
0x4F55A8	なし	없음
0x4F55B8	pｭ	
0x4F5910	ここで可否メッセージを表示します	여기에 가부 메시지를 표시합니다
0x4F5940	選択ダイアログの表示	선택 대화상자 표시
0x4F5958	選択肢１	선택지1
0x4F5968	選択肢２	선택지2
0x4F5978	選択肢３	선택지3
0x4F5988	選択肢４	선택지4
0x4F59A0	ここで\nスチル付ナレーションメッセージを\n表示します	여기서\n스틸 첨부 내레이션 메시지를\n표시합니다
0x4F5B50	身分	신분
0x4F5B58	%3d年%02d月	%3d년 %02d월
0x4F5B68	評定	평정
0x4F5B70	都市	도시
0x4F5B78	%3d年開始	%3d년 시작
0x4F5B88	上級	상급
0x4F5B90	初級	초급
0x4F5B98	史実	사실
0x4F5BA0	仮想	가상
0x4F5BA8	－－－－	－－－－
0x4F5BB8	---年--月	---년 --월
0x4F5BC8	---年開始	---년 시작
0x4F5E00	提案	제안
0x4F5F00	仕事	업무
0x4F6250	ﾄﾂｹﾞｷ	돌격
0x4F6258	ﾗﾝｹﾞｷ	난격
0x4F6260	ｶｸﾗﾝ	교란
0x4F6268	ｷｼｭｳ	기습
0x4F6270	ﾔﾘﾌﾞｽﾏ	창벽
0x4F6278	ｸﾙﾏｶﾞｶﾘ	차현
0x4F6280	ﾋﾔ	화시
0x4F6288	ｾｲｼｬ	제사
0x4F6290	ﾗﾝｼｬ	난사
0x4F6298	ﾔｱﾗｼ	화살비
0x4F62A0	ｹﾞｷﾘｭｳ	격류
0x4F62A8	ﾚｯｶ	열화
0x4F62B0	ﾗｸｾｷ	낙석
0x4F62B8	ﾖｳｼﾞｭﾂ	요술
0x4F62C0	ｺｳｼﾞｮｳ	공성
0x4F62D0	番号	번호
0x4F62D8	戦法	전법
0x4F62E0	ﾙﾋﾞ	읽기
0x4F62E8	熟練	숙련
0x4F62F0	経験	경험
0x4F62F8	説明	설명
0x4F6300	威力	위력
0x4F6308	消費	소비
0x4F6310	表示	표시
0x4F6318	歩兵	보병
0x4F6320	騎兵	기병
0x4F6328	弩兵	노병
0x4F6330	船	선
0x4F6338	軽歩	경보병
0x4F6340	重歩	중보병
0x4F6348	蛮兵	만병
0x4F6350	軽騎	경기병
0x4F6358	重騎	중기병
0x4F6360	山騎	산기
0x4F6368	連弩	연노
0x4F6370	象兵	상병
0x4F6378	城門	성문
0x4F6380	城壁	성벽
0x4F6388	衛兵	위병
0x4F6390	街道	가도
0x4F6398	平地	평지
0x4F63A0	荒地	황야
0x4F63A8	草地	초지
0x4F63B0	森林	삼림
0x4F63B8	湿地	습지
0x4F63C0	山	산
0x4F63C8	浅瀬	여울
0x4F63D0	川	천
0x4F63D8	湖	호
0x4F63E0	城	성
0x4F63E8	砦	채
0x4F63F0	成功率	성공률
0x4F63F8	失敗威力	실패 위력
0x4F6408	成功威力	성공 위력
0x4F64D0	兵士%d%%	병사%d%%
0x4F6590	命令武将：%s	명령무장:%s
0x4F65D0	%s提案書	%s 제안서
0x4F65E0	承諾	승낙
0x4F65E8	拒否	거부
0x4F6680	番号	번호
0x4F6688	援軍	원군
0x4F6690	金	금
0x4F6698	兵糧	병량
0x4F66A0	兵士	병사
0x4F66A8	代表	대표
0x4F66B0	友好	우호
0x4F66B8	武将	무장
0x4F66C0	所在	소재
0x4F66C8	勢力	세력
0x4F66D0	太守	태수
0x4F66D8	州	주
0x4F6760	番号	번호
0x4F6768	人物番号	인물 번호
0x4F6778	人物名	인물명
0x4F6780	所属	소속
0x4F6788	所属名	소속명
0x4F6790	捕獲数	포획수
0x4F6798	被捕獲数	피포획수
0x4F67A8	戦争勝利	전쟁 승리
0x4F67B8	戦争敗北	전쟁 패배
0x4F67C8	仇敵打倒	구적 타도
0x4F67D8	人材登用	인재 등용
0x4F67E8	放浪軍結成	방랑군 결성
0x4F67F8	都督昇進	도독 승진
0x4F6808	太守昇進	태수 승진
0x4F6818	軍師昇進	군사 승진
0x4F6828	対象武将	대상무장
0x4F6838	都市攻略数	도시 공략수
0x4F6848	登用期間	등용 기간
0x4F6858	所持金	소지금
0x4F6ED0	今後ＣＤから読み込みます	앞으로 CD에서 읽어들입니다
0x4F71F0	以下の武将が	다음 무장이 
0x4F7200	へ移りました\n	에 갔습니다\n
0x4F7210	、	, 
0x4F7220	以下の武将の身分が一般になりました\n	다음 무장의 신분이 일반이 되었습니다\n
0x4F7248	%sの軍師を選択	%s 군사 선택
0x4F7258	＋%d	＋%d
0x4F7260	－%d	－%d
0x4F7268	都督	도독
0x4F7270	太守	태수
0x4F7278	軍師	군사
0x4F7300	なし	없음
0x4F7340	実行できる武将がおりません	실행할 수 있는 무장이 없습니다
0x4F7368	連合作戦	연합 작전
0x4F7378	第一援軍：%s	제1 원군:%s
0x4F7390	第一援軍：%s軍%s	제1 원군:%s군%s
0x4F73A8	第二援軍：%s	제2 원군:%s
0x4F73C0	第二援軍：%s軍%s	제2 원군:%s군%s
0x4F7448	商才	상재
0x4F7450	なし	없음
0x4F7458	－%d	－%d
0x4F7460	大雪	대설
0x4F7468	台風	태풍
0x4F7470	洪水	홍수
0x4F7478	金%d	금%d
0x4F7480	兵糧%d	병량%d
0x4F7488	　	
0x4F7490	兵士%d	병사%d
0x4F74A0	金	금
0x4F74A8	兵糧	병량
0x4F74B0	・兵糧	・병량
0x4F74B8	兵士	병사
0x4F74C0	・兵士	・병사
0x4F74F0	自勢力	자세력
0x4F74F8	自軍団	자군단
0x4F7500	＋%d	＋%d
0x4F7508	－%d	－%d
0x4F7510	破壊	파괴
0x4F7518	扇動	선동
0x4F7520	離間	이간
0x4F7528	埋伏	매복
0x4F7530	内通	내통
0x4F7538	登用	등용
0x4F7540	勧告	권고
0x4F75B0	＋  頁切替	＋  쪽전환
0x4F75D0	農村	농촌
0x4F75D8	市場	시장
0x4F75E0	屯所	둔소
0x4F75E8	工房	공방
0x4F75F0	城門	성문
0x4F75F8	兵舎	병영
0x4F7600	武力	무력
0x4F7608	知力	지력
0x4F7610	政治	정치
0x4F7618	魅力	매력
0x4F7620	君主	군주
0x4F7628	都督	도독
0x4F7630	太守	태수
0x4F7638	頭領	두령
0x4F7640	－－	－－
0x4F7648	特技	특기
0x4F7650	猛者	맹자
0x4F7658	智嚢	지낭
0x4F7660	治略	치략
0x4F7668	人徳	인덕
0x4F7670	医術	의술
0x4F7678	天文	천문
0x4F7680	耕作	경작
0x4F7688	商才	상재
0x4F7690	築城	축성
0x4F7698	警備	경비
0x4F76A0	発明	발명
0x4F76A8	威風	위풍
0x4F76B0	弁舌	변설
0x4F76B8	反計	반계
0x4F76C0	挑発	도발
0x4F76C8	混乱	혼란
0x4F76D0	虚報	허보
0x4F76D8	歩兵	보병
0x4F76E0	騎兵	기병
0x4F76E8	弩兵	노병
0x4F76F0	水軍	수군
0x4F76F8	偵察	정찰
0x4F7700	全能	전능
0x4F7708	神眼	신안
0x4F7710	鬼謀	귀모
0x4F7718	神算	신산
0x4F7720	委任	위임
0x4F7728	戦争重視	전쟁중시
0x4F7738	内政重視	내정중시
0x4F7748	輸送重視	수송중시
0x4F7758	州制覇	주제패
0x4F7760	勢力打倒	세력타도
0x4F7770	開発重視	개발 중시
0x4F7780	商業重視	상업 중시
0x4F7790	技術重視	기술 중시
0x4F77A0	防御重視	방어 중시
0x4F77B0	なし	없음
0x4F77B8	目標	목표
0x4F77C0	特徴	특징
0x4F77C8	金	금
0x4F77D0	兵糧	병량
0x4F77D8	兵士	병사
0x4F77E0	都市	도시
0x4F77E8	武将	무장
0x4F77F0	人口	인구
0x4F77F8	友好	우호
0x4F7800	対象都市	대상 도시
0x4F7810	開発	개발
0x4F7818	商業	상업
0x4F7820	技術	기술
0x4F7828	防御	방어
0x4F7830	勢力	세력
0x4F7838	軍団	군단
0x4F7840	賊	적
0x4F7848	賊兵	적병
0x4F7850	連合残月	연합잔월
0x4F7860	同盟残月	동맹잔월
0x4F7870	治安	치안
0x4F7878	諜報残月	첩보잔월
0x4F7888	実行武将	실행무장
0x4F7898	徴兵	징병
0x4F78A0	移動先	이동지
0x4F78A8	前線	전선
0x4F78B0	身分	신분
0x4F78B8	所在	소재
0x4F78C0	購入兵糧	구입 병량
0x4F78D0	売却兵糧	매각 병량
0x4F78E0	買相場	매입가
0x4F78E8	売相場	매각가
0x4F78F0	賛同武将予想	찬동 무장 예상
0x4F7900	盟主勢力	맹주세력
0x4F7910	標的勢力	표적세력
0x4F7920	勧誘勢力	권유 세력
0x4F7930	対象勢力	대상 세력
0x4F7940	贈呈内容	증정 내용
0x4F7950	要求内容	요구 내용
0x4F7960	期間	기간
0x4F7968	対象武将	대상무장
0x4F7978	忠誠	충성
0x4F7980	アイテム	아이템
0x4F7990	種類	종류
0x4F7998	保有量	보유량
0x4F79A0	俸禄	봉록
0x4F79A8	対象軍団	대상 군단
0x4F79B8	方針	방침
0x4F79C0	攻込先	공격처
0x4F79C8	開発目標	개발목표
0x4F79D8	商業目標	상업목표
0x4F79E8	技術目標	기술목표
0x4F79F8	防御目標	방어목표
0x4F7A08	輸送元	수송원
0x4F7A10	輸送先	수송처
0x4F7A18	輸送金	수송금
0x4F7A20	現役軍師	현직 군사
0x4F7A30	現役太守	현직 태수
0x4F7A40	待遇	대우
0x4F7A48	支度金	준비금
0x4F7A50	出陣元	출진원
0x4F7A58	援軍	원군
0x4F7A60	編成	편성
0x4F7A68	連合作戦	연합 작전
0x4F7A78	攻撃	공격
0x4F7A80	守備	수비
0x4F7A88	正規	정규
0x4F7A90	増援	증원
0x4F7A98	応援	응원
0x4F7AA0	編成金	편성금
0x4F7AA8	兵糧負担	병량 부담
0x4F7AB8	街道	가도
0x4F7AC0	関	관
0x4F7AC8	兵科	병과
0x4F7AD0	兵器	병기
0x4F7AD8	退却先	퇴각지
0x4F7AE0	出陣編成	출진 편성
0x4F7AF0	総大将	총대장
0x4F7AF8	参軍	참군
0x4F7B00	解散	해산
0x4F7B08	軍団設定	군단 설정
0x4F7B18	都市方針選択	도시 방침 선택
0x4F7B28	軍団方針選択	군단 방침 선택
0x4F7B38	内政方針選択	내정 방침 선택
0x4F7B48	重点項目	중점 항목
0x4F7B58	現在	현재
0x4F7B60	残量	잔량
0x4F7B68	納入金	납입금
0x4F7B70	引出金	인출금
0x4F7B78	入金	입금
0x4F7B80	出金	출금
0x4F7B88	所持金	소지금
0x4F7B90	都市金	도시금
0x4F7B98	勢力金	세력금
0x4F7BA0	協力武将	협력무장
0x4F7BB0	親密	친밀
0x4F7BB8	買値	구매가
0x4F7BC0	戦法	전법
0x4F7BC8	経験	경험
0x4F7BD0	名声	명성
0x4F7BD8	能力	능력
0x4F7BE0	戦法伝授	전법 전수
0x4F7BF0	仕事決定	업무 결정
0x4F7C00	最適命令	최적 명령
0x4F7C10	個別命令	개별 명령
0x4F7C20	解任	해임
0x4F7C28	提案	제안
0x4F7C30	命令	명령
0x4F7C38	意欲	의욕
0x4F7C40	開墾重視	개간 중시
0x4F7C50	補修重視	보수 중시
0x4F7C60	治安重視	치안 중시
0x4F7C70	仕事選択	업무 선택
0x4F7C80	仕事	업무
0x4F7C88	開墾	개간
0x4F7C90	補修	보수
0x4F7C98	民心	민심
0x4F7CA0	仕事提案	업무 제안
0x4F7CB0	達成	달성
0x4F7CB8	登用	등용
0x4F7CC0	解放	석방
0x4F7CC8	処断	처단
0x4F7CD0	承諾	승낙
0x4F7CD8	拒否	거부
0x4F7CE0	年齢	연령
0x4F7CE8	功績	공적
0x4F7CF0	仕官許可	사관 허가
0x4F7D00	捕虜処遇	포로 처우
0x4F7D10	出陣部隊編成	출진부대 편성
0x4F7D20	起案武将	기안 무장
0x4F7D30	軍団選択	군단선택
0x4F7D40	標準	표준
0x4F7D48	編成金０	편성금 0
0x4F7D58	間接重視	간접 중시
0x4F7D68	騎兵重視	기병 중시
0x4F7D78	水軍重視	수군 중시
0x4F7D88	攻城重視	공성 중시
0x4F7D98	最適編成	최적 편성
0x4F7DA8	個別編成	개별 편성
0x4F7DB8	提案重視	제안 중시
0x4F7DC8	残提案者	남은 제안자
0x4F7ED8	開発	개발
0x4F7EE0	商業	상업
0x4F7EE8	技術	기술
0x4F7EF0	防御	방어
0x4F7EF8	・	・
0x4F7F00	兵糧%d	병량%d
0x4F7F08	兵士%d	병사%d
0x4F7F10	金%d	금%d
0x4F7F18	\n　　　　　	\n
0x4F7F28	、	,
0x4F7FB0	参加勢力：	참가 세력:
0x4F7FD0	＋%d	＋%d
0x4F7FD8	%sと%s	%s, %s
0x4F8040	他%d名	외%d명
0x4F8048	、	,
0x4F80A8	実行	실행
0x4F80B0	中止	중지
0x4F8120	未	미
0x4F8128	？？	??
0x4F81E8	軍団	군단
0x4F81F0	都市	도시
0x4F81F8	編成	편성
0x4F8200	配属	배속
0x4F8208	異動	이동
0x4F8210	登用	등용
0x4F8218	授与	수여
0x4F8220	没収	몰수
0x4F8228	太守	태수
0x4F8230	軍師	군사
0x4F8238	解雇	해고
0x4F8240	輸送	수송
0x4F8248	出陣	출진
0x4F8250	購入	구입
0x4F8258	売却	매각
0x4F8260	徴兵	징병
0x4F8268	反乱	반란
0x4F8270	旗揚	거병
0x4F8278	放浪	방랑
0x4F8280	転地	이전
0x4F8288	贈呈	증정
0x4F8290	要求	요구
0x4F8298	勧告	권고
0x4F82A0	同盟	동맹
0x4F82A8	破棄	파기
0x4F82B0	連合	연합
0x4F82B8	脱退	탈퇴
0x4F82C0	加盟	가맹
0x4F82C8	諜報	첩보
0x4F82D0	離間	이간
0x4F82D8	破壊	파괴
0x4F82E0	扇動	선동
0x4F82E8	内通	내통
0x4F82F0	埋伏	매복
0x4F82F8	売買	매매
0x4F8300	外交	외교
0x4F8308	作敵	이간
0x4F8310	流言	유언
0x4F8318	引抜	포섭
0x4F8320	待機	대기
0x4F8330	※%sコマンドが実行できません	※%s 커맨드 실행 불가
0x4F8370	ゲーム進行制御	게임 진행 제어
0x4F8380	勢力戦略	세력 전략
0x4F8390	放浪軍戦略	방랑군 전략
0x4F83A0	都市戦略	도시 전략
0x4F83B0	武将戦略	무장 전략
0x4F83C0	君主武将戦略	군주 무장 전략
0x4F83D0	都督武将戦略	도독 무장 전략
0x4F83E0	太守武将戦略	태수 무장 전략
0x4F83F0	軍師武将戦略	군사 무장 전략
0x4F8400	一般武将戦略	일반 무장 전략
0x4F8410	頭領武将戦略	두령 무장 전략
0x4F8420	同志武将戦略	동지 무장 전략
0x4F8430	ユーザー武将戦略	유저 무장 전략
0x4F8488	開墾	개간
0x4F8490	見聞	견문
0x4F8498	商業	상업
0x4F84A0	買う	구매
0x4F84A8	売る	판매
0x4F84B0	補修	보수
0x4F84B8	訪問	방문
0x4F84C0	略奪	약탈
0x4F84C8	転居	이주
0x4F84D0	技術	기술
0x4F84D8	治安	치안
0x4F84E0	討伐	토벌
0x4F84E8	訓練	훈련
0x4F84F0	会話	대화
0x4F84F8	寄贈	기증
0x4F8500	悪言	악언
0x4F8508	納入	납입
0x4F8510	引出	인출
0x4F8518	仕官	사관
0x4F8520	推挙	천거
0x4F8528	募兵	모병
0x4F8530	入金	입금
0x4F8538	出金	출금
0x4F8540	鍛練	단련
0x4F8548	宴会	연회
0x4F8550	下野	하야
0x4F8558	発起	발기
0x4F8560	城門	성문
0x4F8568	農村	농촌
0x4F8570	宮城	궁성
0x4F8578	兵舎	병영
0x4F8580	酒家	주점
0x4F8588	飯店	반점
0x4F8590	屯所	둔소
0x4F8598	工房	공방
0x4F85A0	市場	시장
0x4F85A8	自宅	자택
0x4F85B0	町民	주민
0x4F8680	虚報	허보
0x4F8688	なし	없음
0x4F8690	築城	축성
0x4F8698	挑発	도발
0x4F86A0	弁舌	변설
0x4F86A8	混乱	혼란
0x4F86B0	神眼	신안
0x4F86B8	偵察	정찰
0x4F87D8	、	,
0x4F8910	%s内容選択	%s 내용 선택
0x4F8990	悪言	악언
0x4F8A88	買う	구매
0x4F8CC0	必ず退却成功	퇴각 성공 확정
0x4F8D60	宴会	연회
0x4F8E40	発起	발기
0x4F8EC0	訪問	방문
0x4F8F48	会話	대화
0x4F9040	%s民心	%s민심
0x4F9260	寄贈	기증
0x4F9360	－	－
0x4F9368	＋	＋
0x4F93A0	 － 	－
0x4F9570	略奪	약탈
0x4F95E8	売る	판매
0x4F96B0	%s民心	%s민심
0x4F9800	%sに仕官します	%s에 사관합니다
0x4F9888	推挙	천거
0x4F9A90	転居	이주
0x4F9AF0	盗賊	도적
0x4F9AF8	山賊	산적
0x4F9B00	大山賊	대산적
0x4F9B50	、	,
0x4F9C40	＋%d	＋%d
0x4F9C48	金%d、兵糧%d	금%d, 병량%d
0x4F9C58	金%d	금%d
0x4F9C60	兵糧%d	병량%d
0x4F9C68	－%d	－%d
0x4F9C90	[b所持していたアイテム	[b소지하고 있던 아이템
0x4F9CB0	[1b%s[bの[2b%s[bは\n[1b%s[bのものになりました	[1b%s[b의 [2b%s[b,\n[1b%s[b의 것이 되었습니다
0x4F9D48	蒋	장
0x4F9D50	ｼｮｳ	장
0x4F9D58	愈	유
0x4F9D68	孟	맹
0x4F9D70	ﾓｳ	맹
0x4F9D78	童	동
0x4F9D80	ﾄｳ	동
0x4F9D88	祁	기
0x4F9D98	馮	풍
0x4F9DA0	ﾎｳ	풍
0x4F9DA8	謝	사
0x4F9DB0	ｼｬ	사
0x4F9DB8	張	장
0x4F9DC0	ﾁｮｳ	장
0x4F9DC8	蘇	소
0x4F9DD8	左	좌
0x4F9DE8	陳	진
0x4F9DF0	ﾁﾝ	진
0x4F9DF8	田	전
0x4F9E00	ﾃﾞﾝ	전
0x4F9E08	鄭	정
0x4F9E10	ﾃｲ	정
0x4F9E18	長孫	장손
0x4F9E20	ﾁｮｳｿﾝ	장손
0x4F9E28	歐陽	구양
0x4F9E30	ｵｳﾖｳ	구양
0x4F9E38	江	강
0x4F9E40	ｺｳ	강
0x4F9E48	車	거
0x4F9E50	霍	곽
0x4F9E58	ｶｸ	곽
0x4F9E60	伍	오
0x4F9E68	ｺﾞ	오
0x4F9E70	梁	양
0x4F9E78	ﾘｮｳ	양
0x4F9E80	昭	소
0x4F9E88	任	임
0x4F9E90	ﾆﾝ	임
0x4F9E98	不韋	불위
0x4F9EA0	ﾌｲ	불위
0x4F9EA8	耽	탐
0x4F9EB0	ﾀﾝ	탐
0x4F9EB8	昇	승
0x4F9EC0	琳	림
0x4F9EC8	ﾘﾝ	림
0x4F9ED0	正	정
0x4F9ED8	ｾｲ	정
0x4F9EE0	成	성
0x4F9EE8	僉	첨
0x4F9EF0	ｾﾝ	첨
0x4F9EF8	之推	지추
0x4F9F00	ｼｽｲ	지추
0x4F9F08	路	로
0x4F9F18	永慶	영경
0x4F9F20	ｴｲｹｲ	영경
0x4F9F28	沛	패
0x4F9F30	ﾊｲ	패
0x4F9F38	無忌	무기
0x4F9F40	ﾑｷ	무기
0x4F9F48	鋒	봉
0x4F9F50	華	화
0x4F9F60	忠	충
0x4F9F68	ﾁｭｳ	충
0x4F9F70	超	초
0x4F9F78	紀	기
0x4F9F80	伯	백
0x4F9F88	ﾊｸ	백
0x4F9F90	顏	안
0x4F9F98	ｶﾞﾝ	안
0x4F9FA0	韋	위
0x4F9FB0	安	안
0x4F9FB8	ｱﾝ	안
0x4F9FC0	徐	서
0x4F9FC8	ｼﾞｮ	서
0x4F9FD0	施	시
0x4F9FE0	范	범
0x4F9FE8	ﾊﾝ	범
0x4F9FF0	ｼﾞﾝ	인
0x4F9FF8	呉	오
0x4FA000	王	왕
0x4FA008	ｵｳ	왕
0x4FA010	呂	여
0x4FA018	ﾘｮ	여
0x4FA020	李	이
0x4FA030	狄	적
0x4FA038	ｷｭｳ	구
0x4FA040	慕容	모용
0x4FA048	ﾎﾞﾖｳ	모용
0x4FA050	沈	심
0x4FA058	鳳	봉
0x4FA060	武	무
0x4FA068	ﾌﾞ	무
0x4FA070	許	허
0x4FA078	ｷｮ	허
0x4FA080	屈	굴
0x4FA088	ｸﾂ	굴
0x4FA090	洪	홍
0x4FA098	侯	후
0x4FA0A0	如玉	여옥
0x4FA0A8	ｷｮｷﾞｮｸ	여옥
0x4FA0B0	淑	숙
0x4FA0B8	ｼｭｸ	숙
0x4FA0C0	甄	견
0x4FA0C8	ｼﾝ	견
0x4FA0D0	玉蓮	옥련
0x4FA0D8	ｷﾞｮｸﾚﾝ	옥련
0x4FA0E0	珍	진
0x4FA0E8	芝	지
0x4FA0F8	秋香	추향
0x4FA100	ｼｭｳｺｳ	추향
0x4FA108	思涵	사함
0x4FA110	ｼｶﾝ	사함
0x4FA118	菲	비
0x4FA120	ﾋﾞ	비
0x4FA128	嫺	한
0x4FA130	ﾋﾞﾝ	빈
0x4FA138	媚娘	미랑
0x4FA140	ｺｼﾞｮｳ	미랑
0x4FA148	婉	완
0x4FA150	ｴﾝ	완
0x4FA158	之妍	지연
0x4FA160	ｼｹﾝ	지연
0x4FA168	娜	나
0x4FA178	娥	아
0x4FA180	ｶﾞ	아
0x4FA188	又玲	우령
0x4FA190	ﾕｳﾚｲ	우령
0x4FA1A0	若蘭	약란
0x4FA1A8	ｼﾞｬｸﾗﾝ	약란
0x4FA1B0	梅芳	매방
0x4FA1B8	ﾊﾞｲﾎｳ	매방
0x4FA1C0	珠	주
0x4FA1C8	ｼｭ	주
0x4FA318	、	,
0x4FA358	狼	낭
0x4FA360	虎	호
0x4FA368	熊	웅
0x4FA370	大熊猫	대웅묘
0x4FA4D0	[b所持していたアイテム	[b소지하고 있던 아이템
0x4FA4F0	[1b%s[bの[2b%s[bは\n[1b%s[bのものになりました	[1b%s[b의 [2b%s[b,\n[1b%s[b의 것이 되었습니다
0x4FA580	提案	제안
0x4FA5C8	軍団	군단
0x4FA5D0	都市	도시
0x4FA5D8	編成	편성
0x4FA5E0	配属	배속
0x4FA5E8	異動	이동
0x4FA5F0	登用	등용
0x4FA5F8	授与	수여
0x4FA600	没収	몰수
0x4FA608	太守	태수
0x4FA610	軍師	군사
0x4FA618	解雇	해고
0x4FA620	輸送	수송
0x4FA628	出陣	출진
0x4FA630	購入	구입
0x4FA638	売却	매각
0x4FA640	徴兵	징병
0x4FA648	反乱	반란
0x4FA650	旗揚	거병
0x4FA658	放浪	방랑
0x4FA660	転地	이전
0x4FA668	贈呈	증정
0x4FA670	要求	요구
0x4FA678	勧告	권고
0x4FA680	同盟	동맹
0x4FA688	破棄	파기
0x4FA690	連合	연합
0x4FA698	加盟	가맹
0x4FA6A0	脱退	탈퇴
0x4FA6A8	離間	이간
0x4FA6B0	破壊	파괴
0x4FA6B8	扇動	선동
0x4FA6C0	内通	내통
0x4FA6C8	埋伏	매복
0x4FA6D0	方針	방침
0x4FA6D8	人事	인사
0x4FA6E0	軍事	군사
0x4FA6E8	外交	외교
0x4FA6F0	計略	계략
0x4FA6F8	諜報	첩보
0x4FA708	また、	또한,
0x4FA710	、	,
0x4FA718	、他%d勢力	, 다른 %d 세력
0x4FA7D8	・	・
0x4FA880	授与	수여
0x4FA938	配属	배속
0x4FA9B0	解雇	해고
0x4FAA50	異動	이동
0x4FAAE0	軍師	군사
0x4FAB90	配属	배속
0x4FAB98	太守	태수
0x4FAC20	必ず退却成功	퇴각 성공 확정
0x4FAD60	登用	등용
0x4FAE30	購入	구입
0x4FAF10	徴兵	징병
0x4FB188	%s側%s軍	%s측 %s군
0x4FB198	応戦	응전
0x4FB1A0	放棄	포기
0x4FB1E0	出陣	출진
0x4FB2B0	総大将	총대장
0x4FB2B8	参軍	참군
0x4FB2C0	決定	결정
0x4FB2C8	%s側%s軍	%s측 %s군
0x4FB310	ﾀｰﾝ	턴
0x4FB358	出陣	출진
0x4FB5A0	売却	매각
0x4FB630	退却先	퇴각지
0x4FB6F0	転地	이전
0x4FB850	輸送	수송
0x4FB900	%-4s 前線 %s	%-4s 전선 %s
0x4FB910	都市	도시
0x4FBB00	決定	결정
0x4FBBB0	州制覇・%s	주 제패 - %s
0x4FBBC0	勢力打倒・%s	세력 타도 - %s
0x4FBBD0	軍団	군단
0x4FBFB0	編成	편성
0x4FBFB8	決定	결정
0x4FC090	加盟	가맹
0x4FC098	金	금
0x4FC0A0	兵糧	병량
0x4FC0A8	兵士	병사
0x4FC0B0	ｱｲﾃﾑ	아이템
0x4FC0B8	なし	없음
0x4FC1E0	同盟	동맹
0x4FC2C0	破棄	파기
0x4FC380	脱退	탈퇴
0x4FC388	金	금
0x4FC390	兵糧	병량
0x4FC398	兵士	병사
0x4FC3A0	ｱｲﾃﾑ	아이템
0x4FC4B0	贈呈	증정
0x4FC4B8	金	금
0x4FC4C0	兵糧	병량
0x4FC4C8	兵士	병사
0x4FC4D0	ｱｲﾃﾑ	아이템
0x4FC5E0	要求	요구
0x4FC6C0	勧告	권고
0x4FC7A0	連合	연합
0x4FC7E0	檄	격문
0x4FC8C0	諜報	첩보
0x4FC990	破壊	파괴
0x4FCA90	埋伏	매복
0x4FCB90	内通	내통
0x4FCC80	離間	이간
0x4FCD60	扇動	선동
0x4FCE78	都市武将	도시 무장
0x4FCE88	武将	무장
0x4FCE90	都市	도시
0x4FCE98	勢力	세력
0x4FCEA0	軍団	군단
0x4FCEA8	官爵	관작
0x4FCEB0	災害	재해
0x4FCEB8	情報一覧	정보 일람
0x4FCEC8	セーブ	세이브
0x4FCED0	ロード	로드
0x4FCED8	環境設定	환경 설정
0x4FCEE8	武将編集	무장 편집
0x4FCEF8	都市編集	도시 편집
0x4FCF08	年表	연표
0x4FCF10	ゲーム終了	게임 종료
0x4FCF50	仕官	사관
0x4FCF58	納入	납입
0x4FCF60	引出	인출
0x4FCF68	開墾	개간
0x4FCF70	商業	상업
0x4FCF78	買う	구매
0x4FCF80	売る	판매
0x4FCF88	治安	치안
0x4FCF90	討伐	토벌
0x4FCF98	技術	기술
0x4FCFA0	訓練	훈련
0x4FCFA8	募兵	모병
0x4FCFB0	入金	입금
0x4FCFB8	出金	출금
0x4FCFC0	略奪	약탈
0x4FCFC8	補修	보수
0x4FCFD0	訪問	방문
0x4FCFD8	転居	이주
0x4FCFE0	鍛練	단련
0x4FCFE8	宴会	연회
0x4FCFF0	悪言	악언
0x4FCFF8	下野	하야
0x4FD000	発起	발기
0x4FD008	推挙	천거
0x4FD010	見聞	견문
0x4FD018	会話	대화
0x4FD020	寄贈	기증
0x4FD028	老人	노인
0x4FD030	男性	남성
0x4FD038	女性	여성
0x4FD040	金持	부자
0x4FD048	子供	아이
0x4FD050	乱暴	난폭
0x4FD058	旅人	나그네
0x4FD060	農民	농민
0x4FD068	肉屋	푸줏간
0x4FD070	魚屋	어물전
0x4FD078	万屋	잡화상
0x4FD080	工夫	인부
0x4FD088	衛兵	위병
0x4FD090	師範	사범
0x4FD098	鍛冶	대장간
0x4FD0A0	商人	상인
0x4FD0A8	行商	행상
0x4FD0B0	酒娘	주모
0x4FD0B8	飯娘	찬모
0x4FD0C0	恋人	연인
0x4FD0C8	小間	하녀
0x4FD0D0	小玉	소옥
0x4FD0D8	嫁	신부
0x4FD0E0	旦那	서방
0x4FD0E8	釣人	낚시꾼
0x4FD0F0	息子	아들
0x4FD0F8	娘	딸
0x4FD100	犬	개
0x4FD108	高札	게시판
0x4FD110	泥棒	도둑
0x4FD118	酔払	취객
0x4FD120	民	백성
0x4FD128	男女	남녀
0x4FD130	軍団	군단
0x4FD138	都市	도시
0x4FD140	編成	편성
0x4FD148	配属	배속
0x4FD150	異動	이동
0x4FD158	登用	등용
0x4FD160	授与	수여
0x4FD168	没収	몰수
